1,position,موقعیت / جایگاه,0,off
2,yourself,خودت,0,off
3,receive,دریافت کردن / پذیرفتن,0,off
4,wave,موج / خیز / دست تکان دادن,0,off
5,back up,پشتیبان گیری,0,off
6,regroup,دوباره گروه بندی کنید,0,off
7,destroyed,نابود / نابود شده,0,off
8,basic,پایه,0,off
9,religion,دین / مذهب,0,off
10,move,حرکت کردن / جا به جا کردن,0,off
11,remove,حذف کردن / برداشتن / بُردن,0,off
12,removed,حذف شده,0,off
13,screen,صفحه نمایش,0,off
14,scroll,طومار,0,off
15,lock,قفل / قفل کردن,0,off
16,pause,توقف / مکث,0,off
17,break,شکستن,0,off
18,insert,اضافه کردن / درج کردن,0,off
19,cap,کلاه لبه دار,0,off
20,them,آنها,0,off
21,their,آنها,0,off
22,then,سپس,0,off
23,complete,کامل / تمام,0,off
24,feel,احساس کردن,0,off
25,so that,به طوری که,0,off
26,temporary,موقت / موقتی,0,off
27,increase,افزایش / افزایش دادن / توسعه دادن,0,off
28,activate,فعال کردن,0,off
29,pressing,فشار / فشار دادن,0,off
30,hotkey,کلید میانبر,0,off
31,oger,غول پیکر,0,off
32,teleport,انتقال,0,off
33,portal,دروازه,0,off
34,town,شهر / شهر کوچک,0,off
35,global,جهانی / سراسری,0,off
36,emotion,احساس,0,off
37,deity,خدا / خدایِ / خدایی,0,off
38,blessing,برکت,0,off
39,protect,محافظت / محافظت کردن,0,off
40,could,می توانست (گذشته [can]),0,off
41,bring,آوردن,0,off
42,peace,صلح,0,off
43,took,گرفت / بُرد (گذشته [take]),0,off
44,away,دور / دور از,0,off
45,some,مقداری / برخی,0,off
46,kind of,نوع / گونه / جنس,0,off
47,seal,مهر و موم / مهر / طلسم,0,off
48,upon,بر / بر روی,0,off
49,lost,باخت / گم کرد (گذشته [lose]) / از دست دادن,0,off
50,so,پس / بنابراین / خیلی,0,off
